Task,Due Date,Priority,Status,List,Notes
Reply to Sarah Chen — Q4 APAC numbers,2026-02-07,High,Not Started,Work,"Sarah emailed 11:47 PM last night. She needs confirmed APAC revenue figures before Monday's earnings prep. Quick reply — numbers are in the Q4 deck slide 14."
Read NDA flag from Jessica Torres,2026-02-07,High,Not Started,Work,"URGENT: Contoso NDA Section 7.3 non-compete clause is too broad. Must read before seeing David Park at tonight's dinner. 5 minutes."
Test demo app — dry run at 2 PM,2026-02-07,High,Not Started,Work,"Sandra wants to see the AI Agent demo working at Mountain Winery. Launch app, test all flows, verify offline mode works."
Skim AI governance deck v3,2026-02-07,Medium,Not Started,Work,"Alex sent updated deck last night. James Liu (board member) is attending tonight and has been asking about AI guardrails. Be ready to discuss."
Review guest list for tonight,2026-02-07,Medium,Not Started,Work,"Sandra sent the RSVP list this morning. 42 confirmed. Know who's at your table (Table 3)."
Order case of Mountain Winery Estate Cabernet,2026-02-07,Medium,Not Started,Personal,"Rachel Martinez's birthday is Feb 15. She loved the Mountain Winery wines. Ask about the Estate Cabernet during tonight's wine tasting."
Confirm Super Bowl suite details for Sunday,2026-02-07,Low,Not Started,Personal,"Sandra mentioned the company has a suite at Levi's Stadium for Sunday. Need to confirm arrival time and parking logistics."
Approve Kevin's event playlist,2026-02-07,Low,Not Started,Work,"Kevin sent the demo hall playlist for tonight. Looks good — heavy on Chappell Roan (Pink Pony Club, Casual, After Midnight) plus some Sabrina Carpenter and Charli XCX. Just make sure nothing too loud for the dinner crowd. Tell him Good Luck Babe is the perfect closer."
Charge Garmin and prep bike gear for morning ride,2026-02-08,High,Not Started,Personal,"Tadej Pogačar ride at 7 AM. Trek Domane is in the closet. Helmet, kit, shoes ready. Garmin needs a full charge tonight. Set alarm for 6:15 AM — espresso before wheels roll."
Text Tom Brady — confirm lunch details,2026-02-08,High,Not Started,Personal,"Confirm 11:30 AM at Forthright Oyster Bar in Palo Alto. Patio seating. Let him know Troy is joining. Tom asked if you could bring the Surface to show the AI demo — he's genuinely curious about on-device inference."
Review Super Bowl suite guest list,2026-02-08,Medium,Not Started,Work,"Sandra sent final suite list last night. 24 guests confirmed for Suite 4412. Key people: David Park, James Liu, Rachel Martinez. Know the seating and who's bringing plus-ones."
Pack Surface Laptop for the game,2026-02-08,Medium,Not Started,Work,"Casual demo opportunity in the suite. Have the NPU demo app ready to show David Park and James Liu if conversation turns to AI. Charge the laptop fully — no outlets guaranteed in the suite area."
Send Chappell Roan setlist prediction to Kevin,2026-02-08,Low,Not Started,Personal,"Kevin bet $50 that she opens with Pink Pony Club. You think it's Good Luck Babe. Sandra says Red Wine Supernova because 'it's literally about a Super Bowl party vibe.' Loser buys beignets at dinner tonight."
Confirm Monday flight home,2026-02-08,Low,Not Started,Personal,"Flight is at 11:45 AM Monday from SJC. Need to confirm seats and arrange early checkout from Fairmont. Michael Torres doing airport run at 9:30 AM."
